,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
257,Miami Gardens,Florida,113069.0,107167.0,5.51,18.2,47.1,6212.0,2398.0,25°56′56″N 80°14′37″W,"https://en.wikipedia.org/wiki/Miami_Gardens,_Florida",Oliver G. Gilbert III,fl.gov
258,Manchester,New Hampshire,112525.0,109565.0,2.7,33.1,85.7,3339.0,1289.0,42°59′06″N 71°26′39″W,"https://en.wikipedia.org/wiki/Manchester,_New_Hampshire",Joyce Craig,
259,High Point,North Carolina,112316.0,104371.0,7.61,55.2,143.0,2015.0,778.0,35°59′24″N 79°59′26″W,"https://en.wikipedia.org/wiki/High_Point,_North_Carolina",Jay W. Wagner,
260,Downey,California,112269.0,111772.0,0.44,12.4,32.1,9134.0,3527.0,33°56′18″N 118°07′51″W,"https://en.wikipedia.org/wiki/Downey,_California",City council,
261,Clovis,California,112022.0,95631.0,17.14,24.2,62.7,4404.0,1700.0,36°49′42″N 119°41′06″W,"https://en.wikipedia.org/wiki/Clovis,_California",Bob Whalen ,
262,Pompano Beach,Florida,111954.0,99845.0,12.13,24.0,62.2,4558.0,1760.0,26°14′30″N 80°08′02″W,"https://en.wikipedia.org/wiki/Pompano_Beach,_Florida",Rex Hardin,
263,Pueblo,Colorado,111750.0,106595.0,4.84,53.6,138.8,2058.0,795.0,38°16′12″N 104°36′44″W,"https://en.wikipedia.org/wiki/Pueblo,_Colorado",,pueblo.us
264,Elgin,Illinois,111683.0,108188.0,3.23,37.4,96.9,2998.0,1158.0,42°02′23″N 88°19′18″W,"https://en.wikipedia.org/wiki/Elgin,_Illinois",Dave Kaptain,
265,Lowell,Massachusetts,111670.0,106519.0,4.84,13.6,35.2,8129.0,3139.0,42°38′20″N 71°19′16″W,"https://en.wikipedia.org/wiki/Lowell,_Massachusetts",William Samaras,
266,Antioch,California,111535.0,102372.0,8.95,29.4,76.1,3772.0,1456.0,37°58′45″N 121°47′46″W,"https://en.wikipedia.org/wiki/Antioch,_California",Sean Wright,
267,West Palm Beach,Florida,111398.0,99919.0,11.49,55.1,142.7,1963.0,758.0,26°44′47″N 80°07′30″W,"https://en.wikipedia.org/wiki/West_Palm_Beach,_Florida",Keith James,wpb.org
268,Peoria,Illinois,111388.0,115007.0,3.15,48.2,124.8,2371.0,915.0,40°45′05″N 89°37′03″W,"https://en.wikipedia.org/wiki/Peoria,_Illinois",,
269,Everett,Washington,111262.0,103019.0,8.0,33.3,86.2,3275.0,1264.0,47°57′24″N 122°11′29″W,"https://en.wikipedia.org/wiki/Everett,_Washington",Cassie Franklin,
270,Ventura,California,111128.0,106433.0,4.41,21.8,56.5,5027.0,1941.0,34°16′04″N 119°15′15″W,"https://en.wikipedia.org/wiki/Ventura,_California",Neal Andrews,
271,Centennial,Colorado,110831.0,100377.0,10.41,29.5,76.4,3727.0,1439.0,39°35′26″N 104°52′09″W,"https://en.wikipedia.org/wiki/Centennial,_Colorado",,
272,Lakeland,Florida,110516.0,97422.0,13.44,65.9,170.7,1615.0,624.0,28°03′20″N 81°57′18″W,"https://en.wikipedia.org/wiki/Lakeland,_Florida",Bill Mutz,www.lakelandgov.net/
273,Gresham,Oregon,110158.0,105594.0,4.32,23.3,60.3,4786.0,1848.0,45°30′08″N 122°26′30″W,"https://en.wikipedia.org/wiki/Gresham,_Oregon",Shane Bemis,www.greshamoregon.gov
274,Richmond,California,110146.0,103701.0,6.21,30.1,78.0,3648.0,1409.0,37°57′08″N 122°21′38″W,"https://en.wikipedia.org/wiki/Richmond,_California",,
275,Billings,Montana,109550.0,104170.0,5.16,43.7,113.2,2525.0,975.0,45°47′19″N 108°33′00″W,"https://en.wikipedia.org/wiki/Billings,_Montana",,www.cityofbillings.net
276,Inglewood,California,109419.0,109673.0,0.23,9.1,23.6,12160.0,4700.0,33°57′22″N 118°20′39″W,"https://en.wikipedia.org/wiki/Inglewood,_California",,
277,Broken Arrow,Oklahoma,109171.0,98850.0,10.44,61.7,159.8,1741.0,672.0,36°02′11″N 95°46′52″W,"https://en.wikipedia.org/wiki/Broken_Arrow,_Oklahoma",Craig Thurmond,
278,Sandy Springs,Georgia,108797.0,93853.0,15.92,37.7,97.6,2804.0,1083.0,33°55′53″N 84°22′07″W,"https://en.wikipedia.org/wiki/Sandy_Springs,_Georgia",Rusty Paul,
279,Jurupa Valley,California,108393.0,0.0,,42.9,111.1,2414.0,932.0,34°00′09″N 117°28′03″W,"https://en.wikipedia.org/wiki/Jurupa_Valley,_California",,
280,Hillsboro,Oregon,108389.0,91611.0,18.31,25.0,64.7,4207.0,1624.0,45°31′41″N 122°56′09″W,"https://en.wikipedia.org/wiki/Hillsboro,_Oregon",Steve Callaway,www.hillsboro-oregon.gov
281,Waterbury,Connecticut,108093.0,110366.0,2.06,28.5,73.8,3799.0,1467.0,41°33′31″N 73°02′12″W,"https://en.wikipedia.org/wiki/Waterbury,_Connecticut",,
282,Santa Maria,California,107408.0,99553.0,7.89,22.8,59.1,4662.0,1800.0,34°56′00″N 120°26′38″W,"https://en.wikipedia.org/wiki/Santa_Maria,_California",Alice Patino,
283,Boulder,Colorado,107353.0,97385.0,10.24,24.8,64.2,4358.0,1683.0,40°01′37″N 105°15′07″W,"https://en.wikipedia.org/wiki/Boulder,_Colorado",,
284,Greeley,Colorado,107348.0,92889.0,15.57,47.8,123.8,2176.0,840.0,40°24′55″N 104°46′11″W,"https://en.wikipedia.org/wiki/Greeley,_Colorado",,
285,Daly City,California,107008.0,101123.0,5.82,7.6,19.7,14009.0,5409.0,37°42′03″N 122°27′54″W,"https://en.wikipedia.org/wiki/Daly_City,_California",Raymond A. Buenaventura,
286,Meridian,Idaho,106804.0,75092.0,42.23,29.8,77.2,3584.0,1384.0,43°36′51″N 116°23′56″W,"https://en.wikipedia.org/wiki/Meridian,_Idaho",Tammy de Weerd,
287,Lewisville,Texas,106586.0,95290.0,11.85,36.7,95.1,2852.0,1101.0,33°02′48″N 96°58′54″W,"https://en.wikipedia.org/wiki/Lewisville,_Texas",,
288,Davie,Florida,106558.0,91992.0,15.83,34.9,90.4,2919.0,1127.0,26°04′45″N 80°17′06″W,"https://en.wikipedia.org/wiki/Davie,_Florida",Judy Paul (,
289,West Covina,California,106311.0,106098.0,0.2,16.0,41.4,6740.0,2600.0,34°03′21″N 117°54′36″W,"https://en.wikipedia.org/wiki/West_Covina,_California",Lloyd Johnson,
290,League City,Texas,106244.0,83560.0,27.15,51.2,132.6,1992.0,769.0,29°29′24″N 95°06′33″W,"https://en.wikipedia.org/wiki/League_City,_Texas",Pat Hallisey,www.leaguecitytx.gov
291,Tyler,Texas,105729.0,96900.0,9.11,56.6,146.6,1852.0,715.0,32°19′02″N 95°18′21″W,"https://en.wikipedia.org/wiki/Tyler,_Texas",Martin Heines,
292,Norwalk,California,105120.0,105549.0,0.41,9.7,25.1,10946.0,4226.0,33°54′27″N 118°05′01″W,"https://en.wikipedia.org/wiki/Norwalk,_California",,
293,San Mateo,California,105025.0,97207.0,8.04,12.1,31.3,8592.0,3317.0,37°33′37″N 122°18′38″W,"https://en.wikipedia.org/wiki/San_Mateo,_California",Diane Papan,
294,Green Bay,Wisconsin,104879.0,104057.0,0.79,45.4,117.6,2316.0,894.0,44°31′15″N 87°59′03″W,"https://en.wikipedia.org/wiki/Green_Bay,_Wisconsin",,
295,Wichita Falls,Texas,104576.0,104553.0,0.02,72.2,187.0,1450.0,560.0,33°54′24″N 98°31′33″W,"https://en.wikipedia.org/wiki/Wichita_Falls,_Texas",Stephen Santellana,
296,Sparks,Nevada,104246.0,90264.0,15.49,35.9,93.0,2810.0,1080.0,39°33′16″N 119°44′08″W,"https://en.wikipedia.org/wiki/Sparks,_Nevada",Ron Smith (,
297,Lakewood,New Jersey,104157.0,92843.0,12.19,24.7,64.0,4079.0,1575.0,40°04′38″N 74°12′01″W,"https://en.wikipedia.org/wiki/Lakewood_Township,_New_Jersey",Raymond Coles (,
298,Burbank,California,103695.0,103340.0,0.34,17.4,45.1,6003.0,2318.0,34°11′24″N 118°19′35″W,"https://en.wikipedia.org/wiki/Burbank,_California",Emily Gabel-Luddy,burbankca.gov
299,Rialto,California,103440.0,99171.0,4.3,22.3,57.8,4633.0,1789.0,34°06′42″N 117°23′18″W,"https://en.wikipedia.org/wiki/Rialto,_California",City council,
300,Allen,Texas,103383.0,84246.0,22.72,27.1,70.2,3715.0,1434.0,33°05′59″N 96°39′47″W,"https://en.wikipedia.org/wiki/Allen,_Texas",City Council,
301,El Cajon,California,103241.0,99478.0,3.78,14.5,37.6,7156.0,2763.0,32°48′06″N 116°57′37″W,"https://en.wikipedia.org/wiki/El_Cajon,_California",Bill Wells,
302,Las Cruces,New Mexico,102926.0,97618.0,5.44,76.9,199.2,1323.0,511.0,32°19′35″N 106°47′23″W,"https://en.wikipedia.org/wiki/Las_Cruces,_New_Mexico",Ken Miyagishima,
303,Renton,Washington,102153.0,90927.0,12.35,23.4,60.6,4314.0,1666.0,47°28′34″N 122°11′31″W,"https://en.wikipedia.org/wiki/Renton,_Washington",Denis Law,www.rentonwa.gov
304,Davenport,Iowa,102085.0,99685.0,2.41,62.9,162.9,1631.0,630.0,41°33′15″N 90°36′14″W,"https://en.wikipedia.org/wiki/Davenport,_Iowa",,
305,South Bend,Indiana,101860.0,101168.0,0.68,41.4,107.2,2457.0,949.0,41°40′37″N 86°16′08″W,"https://en.wikipedia.org/wiki/South_Bend,_Indiana",Pete Buttigieg,www.southbendin.gov
306,Vista,California,101224.0,93834.0,7.88,18.7,48.4,5436.0,2099.0,33°11′22″N 117°14′19″W,"https://en.wikipedia.org/wiki/Vista,_California",Judy Ritter,
307,Tuscaloosa,Alabama,101113.0,90468.0,11.77,71.7,185.7,1399.0,540.0,33°12′23″N 87°32′05″W,"https://en.wikipedia.org/wiki/Tuscaloosa,_Alabama",Walter Maddox,
308,Clinton,Michigan,100800.0,96796.0,4.14,28.1,72.8,3573.0,1380.0,42°35′25″N 82°55′01″W,"https://en.wikipedia.org/wiki/Clinton_Township,_Macomb_County,_Michigan",,
309,Edison,New Jersey,100693.0,99967.0,0.73,30.1,78.0,3389.0,1309.0,40°30′14″N 74°20′58″W,"https://en.wikipedia.org/wiki/Edison,_New_Jersey",Thomas Lankey,
310,Woodbridge,New Jersey,100450.0,99585.0,0.87,23.3,60.3,4351.0,1680.0,40°33′39″N 74°17′34″W,"https://en.wikipedia.org/wiki/Woodbridge_Township,_New_Jersey",John McCormac,
311,San Angelo,Texas,100215.0,93200.0,7.53,59.9,155.1,1681.0,649.0,31°26′28″N 100°27′02″W,"https://en.wikipedia.org/wiki/San_Angelo,_Texas",,
312,Kenosha,Wisconsin,100164.0,99218.0,0.95,28.0,72.5,3577.0,1381.0,42°34′56″N 87°50′44″W,"https://en.wikipedia.org/wiki/Kenosha,_Wisconsin",John Antaramian,www.kenosha.org
313,Vacaville,California,100154.0,92428.0,8.36,29.0,75.1,3449.0,1332.0,38°21′14″N 121°58′22″W,"https://en.wikipedia.org/wiki/Vacaville,_California",Ron Rowlett,
