,city,state,population_2018,population_2010,change,area_in_miles,area_in_kms,population_density_in_miles,population_density_in_kms,location,wiki_url,mayor,website
151,Peoria,Arizona,172259.0,154065.0,11.81,175.7,455.1,934.0,361.0,33°47′10″N 112°18′29″W,"https://en.wikipedia.org/wiki/Peoria,_Arizona",Cathy Carlat (,www.peoriaaz.gov/
152,Eugene,Oregon,171245.0,156185.0,9.64,44.1,114.2,3777.0,1458.0,44°03′24″N 123°06′58″W,"https://en.wikipedia.org/wiki/Eugene,_Oregon",,www.eugene-or.gov
153,Corona,California,168819.0,152374.0,10.79,39.5,102.3,4222.0,1630.0,33°51′43″N 117°33′56″W,"https://en.wikipedia.org/wiki/Corona,_California",Jason Scott,
154,Cary,North Carolina,168160.0,135234.0,24.35,56.5,146.3,2873.0,1109.0,35°46′51″N 78°48′48″W,"https://en.wikipedia.org/wiki/Cary,_North_Carolina",Harold Weinbrecht,
155,Springfield,Missouri,168122.0,159498.0,5.41,82.3,213.2,2033.0,785.0,37°11′39″N 93°17′29″W,"https://en.wikipedia.org/wiki/Springfield,_Missouri",Ken McClure,www.springfieldmo.gov
156,Fort Collins,Colorado,167830.0,143986.0,16.56,55.8,144.5,2943.0,1136.0,40°32′54″N 105°03′53″W,"https://en.wikipedia.org/wiki/Fort_Collins,_Colorado",,
157,Jackson,Mississippi,164422.0,173514.0,5.24,111.0,287.5,1524.0,588.0,32°18′57″N 90°12′46″W,"https://en.wikipedia.org/wiki/Jackson,_Mississippi",Chokwe Antar Lumumba,
158,Alexandria,Virginia,160530.0,139966.0,14.69,15.0,38.8,10387.0,4010.0,38°49′12″N 77°05′03″W,"https://en.wikipedia.org/wiki/Alexandria,_Virginia",,
159,Hayward,California,159620.0,144186.0,10.7,45.5,117.8,3493.0,1349.0,37°37′43″N 122°06′09″W,"https://en.wikipedia.org/wiki/Hayward,_California",Barbara Halliday,
160,Lancaster,California,159053.0,156633.0,1.55,94.3,244.2,1698.0,656.0,34°41′37″N 118°10′31″W,"https://en.wikipedia.org/wiki/Lancaster,_California",R. Rex Parris,
161,Lakewood,Colorado,156798.0,142980.0,9.66,42.9,111.1,3599.0,1390.0,39°41′56″N 105°07′03″W,"https://en.wikipedia.org/wiki/Lakewood,_Colorado",,
162,Clarksville,Tennessee,156794.0,132929.0,17.95,98.3,254.6,1529.0,590.0,36°33′59″N 87°20′43″W,"https://en.wikipedia.org/wiki/Clarksville,_Tennessee",Joe Pitts,cityofclarksville.com
163,Palmdale,California,156667.0,152750.0,2.56,106.0,274.5,1484.0,573.0,34°35′28″N 118°06′19″W,"https://en.wikipedia.org/wiki/Palmdale,_California",,
164,Salinas,California,156259.0,150441.0,3.87,23.6,61.1,6662.0,2572.0,36°41′25″N 121°38′01″W,"https://en.wikipedia.org/wiki/Salinas,_California",Joe Gunter,
165,Springfield,Massachusetts,155032.0,153060.0,1.29,31.9,82.6,4830.0,1860.0,42°06′56″N 72°32′24″W,"https://en.wikipedia.org/wiki/Springfield,_Massachusetts",Domenic Sarno,
166,Hollywood,Florida,154823.0,140768.0,9.98,27.3,70.7,5568.0,2150.0,26°01′52″N 80°09′53″W,"https://en.wikipedia.org/wiki/Hollywood,_Florida",Josh Levy,www.HollywoodFL.org
167,Pasadena,Texas,153219.0,149043.0,2.8,43.5,112.7,3525.0,1361.0,29°39′31″N 95°09′02″W,"https://en.wikipedia.org/wiki/Pasadena,_Texas",,ci.pasadena.tx.us
168,Sunnyvale,California,153185.0,140081.0,9.35,22.0,57.0,6944.0,2681.0,37°23′09″N 122°01′35″W,"https://en.wikipedia.org/wiki/Sunnyvale,_California",Larry Klein,
